phone_number,map_data,email_address,website
tel:+97714451212,None,mailto:info@gokarna.net,https://gokarna.com/
tel:081- 551145,None,mailto:reservation.swp@soaltee.com,https://soalteewestend.com/about-us
tel:+977 1-5970300,"https://www.google.com/maps/search/?api=1&query=27.712833,85.324511",mailto:kathmandu.marriott@marriott.com,https://www.marriott.com/en-us/hotels/ktmmc-kathmandu-marriott-hotel/overview/
"tel:01-4314400, 01-4314402",None,mailto:info@chandragirihills.com,http://chandragirihillsresort.com/
"tel:01- 5705626, +977-9851234862",None,mailto:info@baseraboutiquehotel.com.np,http://www.baseraboutiquehotel.com.np/
tel:+977 1 5381234,None,mailto:kathmandu.place@hyatt.com,https://www.hyatt.com/en-US/hotel/nepal/hyatt-place-kathmandu/ktmzk
"tel:+977 9802738092, 9855029591, 9855029592",None,mailto:info@hotelichchha.com,http://www.hotelichchha.com/
tel:01-5252000,None,None,None
tel:023509700/ 9852689017,None,mailto:info@hotelthekingsbury.com,http://www.hotelthekingsbury.com/
tel:+977-1-4780100,"https://www.google.com/maps/search/?api=1&query=27.712833,85.324511",mailto:sales@theeveresthotel.com,https://www.theeveresthotel.com
"tel:+977-61-430277,439276","https://www.google.com/maps/search/?api=1&query=27.712833,85.324511",mailto:resv@fulbari.com.np,https://www.fulbari.com.np
tel:+977-1-4377298,"https://www.google.com/maps/search/?api=1&query=27.712833,85.324511",mailto:info@hotelakama.com,http://www.hotelakama.com
tel:+977 71512000,"https://www.google.com/maps/search/?api=1&query=27.712833,85.324511",mailto:sales.bwa@tigerpalace.com,https://www.tigerpalace.com/
tel:+977 1 4479488,"https://www.google.com/maps/search/?api=1&query=27.712833,85.324511",mailto:info@dwarikas.com,https://dwarikas.com/
tel:061 460210 / 460212 / 460213,"https://www.google.com/maps/search/?api=1&query=27.712833,85.324511",mailto:info@pokharagrande.com,www.pokharagrande.com
tel:+977-1-4273999,"https://www.google.com/maps/search/?api=1&query=27.712833,85.324511",mailto:info@soaltee.com,http://soaltee.com/
tel:+977-1-4418385,"https://www.google.com/maps/search/?api=1&query=27.712833,85.324511",mailto:info@themallahotel.com,http://www.thehotelmalla.com
tel:+977-1-4412999 / 4435741,"https://www.google.com/maps/search/?api=1&query=27.712833,85.324511",mailto:info@hotelshangrila.com,https://hotelshangrila.com/
tel:+977-1-4248999,"https://www.google.com/maps/search/?api=1&query=27.712833,85.324511",mailto:reservation@yakandyeti.com.np,https://www.yakandyeti.com/
tel:+977-1-4411818,"https://www.google.com/maps/search/?api=1&query=27.712833,85.324511",mailto:radisson@radkat.com.np / sales@radkat.com.np / reservation@radkat.com.np,"https://www.google.com/maps/place/Radisson+Hotel+Kathmandu/@27.7199888,85.3212914,21z/data=!4m8!3m7!1s0x39eb191b0080f92b:0x3d08c08a7f53eace!5m2!4m1!1i2!8m2!3d27.7199921!4d85.3213591"
tel:+977-1-4491234,"https://www.google.com/maps/search/?api=1&query=27.712833,85.324511",mailto:sales.kathmanduhr@hyatt.com,https://www.hyatt.com/en-US/hotel/nepal/hyatt-regency-kathmandu/kathm
tel:+977-1- 4221711,"https://www.google.com/maps/search/?api=1&query=27.712833,85.324511",mailto:info@annapurna.com.np,www.annapurna-hotel.com
